Sl,"Consignor GST",Name,Address,"Consignee GST",Name,Address,"Date of Booking","Date of Delivery","No. of items",Commodity,"Goods Value(Rs.)"
1,37ACXPT0076C1Z8,"SRI SAI RAM BOOK DEPOT",VJW,494966894989,adityabookcenter,jmpt,2018-02-26,0000-00-00,2,BOOKS,15075
2,37aevps1565d1z1,AMBICAENTERPRISE,vijayawada,37AYGPS7619K1ZP,"SRI PADMA SRINIVASA SANITARY & PLYWOOD CENTRE",MANDAPETA,2018-02-24,0000-00-00,5,"PLY WOODSHEETS",2702
3,37AEVPS1565D1Z1,AMBICAENTERPRISE,vijayawada,37ADIFS4790A1ZY,"MANJUNADHA ENTERPRISES","G.MAMIDADA MANDAPETA",2018-02-24,0000-00-00,3,"PLY WOODSHEETS",10074
4,37AMSPP0670P1Z5,"VIJAYA METALS",GNT,37AAHFM8694B1ZY,"MOHAN INDUSTREIS",SAMARLAKOTA,2018-02-24,0000-00-00,3,STEELS,13452
5,37ACCPP8045L1Z5,"GOLDEN ENTERPRISES",VIJAYAWADA,37AKOPB0806D1ZM,"SRI JAYA ENTERPRISES",KKD,2018-02-24,0000-00-00,2,IRONCHANS,9499
6,37BTKPR1059L1Z3,"POWER LINE ELECTRICALS",VJW,37AOMPT6362A1ZP,"APPLE   ENTERPRISES",KKD,2018-02-24,0000-00-00,5,"SINGLE CARE",6467
7,37AIJPG0018P1Z5,"BHANU PRODUCTS",VIJAYAWADA,37ABBPC9852C1ZV,"CHANDAK BROTHES",KKD,2018-02-24,0000-00-00,3,OIL,27900
8,37AGTPC4579R1ZA,"AMBICA ALLUMINIUM CENTRE",VJW,37BDYPP7954E1ZN,"KARNATAKA TIMBER",KKD,2018-02-24,0000-00-00,1,ALUMINIUM,3700
9,37AGTPC4579R1ZA,"AMBICA ALLUMINIUM CENTRE",VJW,37DQTPM3895P1ZL,"VEERA BHADHRA TIMBER &H/W",KKD,2018-02-24,0000-00-00,1,ALUMINIUM,3629
10,37AGTPC4579R1ZA,"AMBICA ALLUMINIUM CENTRE",VJW,37ENWPS4626B1ZH,"TEJA H/W",KKD,2018-02-24,0000-00-00,1,ALUMINIUM,3304
11,37ADPPC7288N1ZO,"SRI POOJITHA INDUSTRIAL A/G",VJA,37AWDPB5610J1ZY,"SRI GAYATRI AUTO SPARES",KKD,2018-02-24,0000-00-00,1,PVCPIPES,10691
12,37ADPPC7288N1ZO,"SRI POOJITHA INDUSTRIAL A/G",VJA,37AWDPB5610J1ZY,"SRI GAYATRI AUTO SPARES",KKD,2018-02-24,0000-00-00,1,"PVC PIPES",10691
13,37ACPPG1247EIZQ,"DURGA GENERAL STORES",VJA,301471898554,G.RSINIVASARAO,KKD,2018-02-24,0000-00-00,1,NAVARU,6678
14,37AABCC8047P1Z4,"CYBER A/M {PVT LTD}",VJA,37AWDPB5610J1ZY,"SRI GAYATRI AUTO SPARES",KKD,2018-02-24,0000-00-00,3,A/M,15122
15,37ATNPK7947E1Z6,"SRI SRINIVASA BEEDINGS",VIJAYAWADA,37ASEPN4850D1ZY,"SRI VEARESWARA TIMBER H/W",KKD,2018-02-24,0000-00-00,1,"WOOD BEEDING",1416
16,37BBPPN6863H1ZY,"SAMBHAV LAMINATES",VJA,37ADXPB8523D1ZE,"vishnu glass plywood",kkd,2018-02-24,0000-00-00,2,SUNGLASS,12408
17,37AIJPG0018P1Z5,"BHANU PRODUCTS",VIJAYAWADA,37ABBPC9853D1ZS,"MADANA GOPAL BADRINARAYANA KIRAN G/M",KKD,2018-02-24,0000-00-00,10,MAIZE,15000
