Sl,"Consignor GST",Name,Address,"Consignee GST",Name,Address,"Date of Booking","Date of Delivery","No. of items",Commodity,"Goods Value(Rs.)"
1,37ADVPJ4987D1ZW,"PAVAN ELECTRICALS",VJA,34AFIPV4289F1ZO,"SAI SUMALIKA ELECTRIAL & AUTO MOBILE",YANAM,2018-03-24,0000-00-00,1,A/M,3903
2,37AIBPM6249G1Z5,"VIJAY FANCY CENTRE",VJA,37ABNPA5313E1Z2,"SATYA FANCY STOERS",PTPM,2018-03-24,0000-00-00,1,FANS,2177
3,37AGKPG5131A1ZW,"GELLI KRISHNA MURTHY JUTE COMPANY",VJA,37ABIFS8483J1ZD,"VENKATESWARA   H/W &GENERAL",GOLLAPROLU,2018-03-24,0000-00-00,2,TARPALIN,2360
4,37AKHPK3062H1Z6,"DIVYA SAI AGENCIES",VIJAYAWADA,37AUQPD8594C1Z7,"SATYASAI POLYTHENE",PDPM,2018-03-24,0000-00-00,3,DISPOSOLE,6213
5,37EFNPK8065P1ZD,"MAHESH PACKAGINGS",VJA,37AMGPJ6096F1ZS,"JANANI E/P",PITTAPURAM,2018-03-24,0000-00-00,3,COVERS,3864
6,37BHBPD5384F1ZG,"RAMDEV ELECTRICALS",VJA,37BTMPR4003E1ZQ,"KRISHNA E/P",SMKT,2018-03-24,0000-00-00,1,ANAGA,1770
7,37AAFFM3310G1ZN,"MAHAVEER E/P",VJA,37BJYPP2315P1ZA,"SRI SATYA SAI ELE &G/S",VJA,2018-03-24,0000-00-00,2,ELECTRICAL,11195
8,37AIAPN5380L1ZW,"PADMAVATI ELECTRICALS",VJA,37BOPPP3132N1ZC,"RAMDEV ELECTRICALS",PTPM,2018-03-24,0000-00-00,3,ELECTRICAL,3756
9,37ACFPD6381A1ZY,"SREE MAHADEV STATIONERS",VIJAYAWADA,37AAFFN5137L1ZY,"NANI KRISHNA EMPORIUM",KKD,2018-03-24,0000-00-00,3,FANCY,9440
10,37AACCG9397F1Z5,"GOLDMEDAL ELECTRICAL(P)LTD",VJA,37ABBPC9857H1ZG,"VINAYAKA ELECTRICALS & GENERAL STORES",PTPM,2018-03-24,0000-00-00,2,ELECTRICAL,9038
11,37AHZPD2126Q1ZO,"SARVARI OIL T/R",VJA,503382844388,"SUJANA AUTO  MOBILES",PTPM,2018-03-24,0000-00-00,2,A/M,2250
12,37ANNPK1958M1ZA,"SRI HARI CHANDANA A/G",VJA,37BLUPK0273K1ZK,"SRI AYYAPPA  A/M",KAPULAPALEM,2018-03-24,0000-00-00,7,PVCPIPES,22472
13,37AEXPA21N1Z5,"DURGA STEEL EMPORIUM",VJA,34CRZPS3707A1ZK,"SRI DHARNI PRIYANKA  T/R",YANAM,2018-03-24,0000-00-00,2,STEEL,13440
14,37AEKPV3939D1Z3,"VC ENTERPRISES","BHAVANIPURAM, VIJAYAWADA",,"COUNTER SALE",KKD,2018-03-24,0000-00-00,11,"CREAMY LATTE",17548
15,37AAZPY69911K2Z3,"SRI SANKAR A/G",VJA,34DJYPS4847B1ZN,"MAHALAKSHMI SRI E/P",YANAM,2018-03-24,0000-00-00,3,TUBES,9464
16,37AABFV7859H1ZM,"VENus STATIONARY MART",VJA,37AAAFV9616R1ZB,"VINAR PAPER MART",KKD,2018-03-24,0000-00-00,2,PAPER,3894
17,37AABFV7859H1ZM,"VENus STATIONARY MART",VJA,37AGRPC8006H1ZB,"LAKSHMI GANESH STATIONARY",KKD,2018-03-24,0000-00-00,6,STATIONERY,8840
18,37AABFV7859H1ZM,"VENus STATIONARY MART",VJA,37ABHPJ2235J2ZN,"KISHORE TRADERS",PDPm,2018-03-24,0000-00-00,2,STATIONERY,3458
19,37BBVPK9757R1Z3,"VIJAYAWADA DOORS & PLYWOOD",VIJAYAWADA,37ANHPC2350F1ZF,"JAI GANESH PLYWOOD",KKD,2018-03-24,0000-00-00,1,PLYWOOD,582
20,09AAYPM9856C1ZV,MITRA,AGRA,37acnpk3462b1zp,"rajahmundry footwear",rjy,2018-03-24,0000-00-00,1,F/W,16964
21,09AAFFS3290K1ZS,"SHOE PORT",AGRA,37ACOPK2002L1ZL,"RAJA RUBBERS",RJY,2018-03-24,0000-00-00,1,F/W,17204
22,37BWLPS4246L1ZS,"MODERN TRADERS",VIJAYAWADA,37ACXFS7912G1ZF,"SRI SAI LAKSHMI E/P",KKD,2018-03-24,0000-00-00,20,"cotton waste",38000
23,37AADCK0924H1ZP,"KARMA HEALTH CARE LTD",VIJAYAWADA,37AACFF7691Q1ZK,"FITNESS SHOPEE",KKD,2018-03-24,0000-00-00,13,SURGICAL,44356
24,37AADCK0924H1ZP,"KARMA HEALTH CARE LTD",VIJAYAWADA,37AABFI6878F1Z2,"INDIAN SURGICALS",KKD,2018-03-24,0000-00-00,3,SURGICAL,6411
25,37AADCK0924H1ZP,"KARMA HEALTH CARE LTD",VIJAYAWADA,37AESPM1552K1ZO,"DEV MEDICARE",KKD,2018-03-24,0000-00-00,3,SURGICAL,6411
26,37AAOCA0950G1ZO,"AUDI P/M PVT LTD",VJA,37AKRPA2019G1ZD,"HEATHCARE MEDICALS&SURGICALS",KKD,2018-03-24,0000-00-00,4,MEDICAL,48384
27,37AABPE7974L1Z9,"JCS APPLIANCIES","GOLLAPUDI, VIJAYAWADA",37BXFPK7908A1ZK,"SRI SAI NUKAMBICA E/P",PDPM,2018-03-24,0000-00-00,12,"HOME NEEDS",18600
28,33AAKCM6890R1ZI,"MAHAACAUVERY PVT LTD",AMBATTUR,37AABFC4371K1ZD,"CHELLA METAL",SMKT,2018-03-24,0000-00-00,3,"HOME APPLINCES",25411
29,37AIJPT1902B1ZI,"TYRE TUNNEL",VJA,37AWUPK8458N1ZA,"ROYAL TYRE CENTER",RJY,2018-03-24,0000-00-00,5,TYERS,59500
30,37BLGPR5948N1Z5,"NEW RAJARAM HARDWARE",VJA,37BEXPR5601A1ZC,"DURGA GLASS PLYWOOD &H/W",PTPM,2018-03-24,0000-00-00,3,ELECTRICAL,14833
31,37GMXPS7798E1ZN,"SRI SAI PLASTICS",VJA,37AWXPR2377L1ZE,"SRI VENKATA SAI A/G",RJY,2018-03-24,0000-00-00,7,H/W,15818
